iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,8,0.030592255
1000,-1.0,2.0,8,0.024499385
1500,-1.0,2.0,9,0.030886013
2000,-1.0,2.0,8,0.018756203
2500,-1.0,2.0,8,0.015087992
3000,-0.64,2.0,11,0.019621857
3500,-1.0,2.0,8,0.01730465
4000,-0.75,2.25,8,0.008934333
4500,-0.12,2.12,8,0.01695206
5000,-0.22,2.0,9,0.008928938
5500,-0.12,2.0,8,0.004809698
6000,-0.25,2.0,8,0.0062260386
6500,-0.12,2.0,8,0.0061454847
7000,0.0,2.0,8,0.0016848769
7500,0.0,2.0,8,0.0042433203
8000,-0.12,2.0,8,0.004324617
8500,0.0,2.0,8,0.0019629456
9000,0.0,2.0,8,0.002821777
9500,0.0,2.0,8,0.0015746139
10000,0.0,2.0,8,0.0012044606
10500,0.0,2.0,8,0.0033745512
11000,0.0,2.0,8,0.0010057527
11500,0.0,2.0,8,0.0008263262
12000,0.0,2.0,8,0.0010702597
12500,0.0,2.0,8,0.0006272926
13000,0.0,2.0,8,0.0021024111
13500,0.0,2.0,8,0.0007298514
14000,0.0,2.0,8,0.002230409
14500,0.12,2.12,8,0.0006616752
15000,0.0,2.0,8,0.00079140963
15500,0.12,2.12,8,0.00022361169
16000,0.12,2.12,8,0.0033088592
16500,0.0,2.0,8,0.00059532106
17000,0.12,2.12,8,0.00060812273
17500,0.25,2.25,8,0.0021305815
18000,0.12,2.12,8,0.00059143367
18500,0.0,2.0,8,0.0045304103
19000,0.0,2.0,8,0.0020801683
19500,0.38,2.38,8,0.00077349466
20000,0.25,2.25,8,0.0009239514
20500,0.5,2.5,8,0.004193138
21000,0.12,2.12,8,0.0017298164
21500,0.77,3.23,13,0.004818873
22000,0.25,2.25,8,0.005126982
22500,0.38,2.38,8,0.0015189918
23000,0.5,2.62,8,0.0006815846
23500,0.12,2.25,8,0.004665045
24000,1.5,4.5,8,0.0015146495
24500,2.0,5.0,8,0.0037846393
25000,0.88,3.12,8,0.0056573274
25500,1.25,3.62,8,0.0065351897
26000,0.44,2.67,9,0.005171166
26500,1.6,4.0,10,0.0045359638
27000,0.75,2.75,8,0.006254963
27500,1.67,4.11,9,0.006769822
28000,3.5,6.5,8,0.0068564415
28500,2.22,4.78,9,0.005224605
29000,2.78,5.33,9,0.0058036735
29500,1.56,3.89,9,0.007911535
30000,2.75,5.75,8,0.006789849
30500,3.0,6.0,8,0.006186939
31000,4.62,7.62,8,0.012076998
31500,4.88,7.88,8,0.012043282
32000,3.5,6.5,8,0.0121472245
32500,3.88,6.88,8,0.0068984516
