iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,8,0.01196252
1000,0.22,2.56,9,0.0070056785
1500,1.12,3.25,8,0.009578817
2000,0.12,2.12,8,0.0042318227
2500,0.62,2.62,8,0.0015557038
3000,0.12,2.12,8,0.0016495516
3500,0.25,2.25,8,0.0006247483
4000,2.11,4.33,9,0.0014203074
4500,0.12,2.12,8,0.005143773
5000,0.62,2.62,8,0.003496444
5500,0.75,2.75,8,0.0018663282
6000,1.33,3.56,9,0.0009202071
6500,0.88,3.0,8,0.0031644101
7000,5.38,8.38,8,0.0037464516
7500,6.38,9.38,8,0.0041441945
8000,4.5,7.5,8,0.0030689058
8500,5.12,8.12,8,0.0073417383
9000,5.62,8.62,8,0.00417398
9500,6.12,9.12,8,0.005073552
10000,5.38,8.38,8,0.004709831
10500,4.12,7.12,8,0.008537208
11000,6.12,9.12,8,0.008153485
11500,4.5,7.5,8,0.010638193
12000,7.25,10.25,8,0.009653536
12500,6.12,9.12,8,0.009405959
13000,4.62,7.62,8,0.013174379
13500,8.75,11.75,8,0.0357167
14000,7.25,10.25,8,0.018573595
14500,6.5,9.5,8,0.016856471
15000,7.5,10.5,8,0.020260213
15500,7.0,10.0,8,0.015096851
16000,6.12,9.12,8,0.012989611
16500,7.25,10.25,8,0.015255749
17000,6.5,9.5,8,0.01871742
17500,6.38,9.38,8,0.02214749
18000,7.38,10.38,8,0.018527942
18500,6.88,9.88,8,0.025828566
19000,7.5,10.5,8,0.020864487
19500,7.88,10.88,8,0.023854291
20000,6.75,9.75,8,0.018594041
20500,9.25,12.25,8,0.027967634
21000,9.0,12.0,8,0.016337793
21500,11.11,13.33,9,0.017808544
22000,7.12,10.12,8,0.025645675
22500,6.38,9.38,8,0.023032885
23000,5.5,8.5,8,0.027613595
23500,8.38,11.38,8,0.028097678
24000,7.25,10.25,8,0.026462987
24500,7.62,10.62,8,0.020477172
25000,8.75,11.75,8,0.03221258
25500,10.75,13.75,8,0.019700035
26000,8.0,11.0,8,0.030729039
26500,9.0,12.0,8,0.033688396
27000,11.12,14.12,8,0.024936933
27500,8.88,11.88,8,0.029015705
28000,9.38,12.38,8,0.02041017
28500,8.88,11.88,8,0.023753317
29000,10.0,13.0,8,0.031584553
29500,7.12,10.12,8,0.017146537
30000,9.88,12.88,8,0.024657646
30500,11.38,14.38,8,0.022903504
31000,10.12,13.12,8,0.020807799
31500,10.5,13.5,8,0.01542525
32000,10.0,13.0,8,0.016460907
32500,10.75,13.75,8,0.028027434
33000,10.62,13.62,8,0.020253614
33500,11.25,14.25,8,0.032356754
34000,10.5,13.5,8,0.023387924
34500,8.88,11.88,8,0.02802746
35000,9.0,12.0,9,0.01696539
35500,9.62,12.62,8,0.017627876
36000,8.62,11.62,8,0.029410731
36500,13.75,16.75,8,0.045034
37000,8.38,11.38,8,0.04828714
37500,13.5,16.5,8,0.029165138
38000,12.75,15.75,8,0.06387377
38500,6.25,9.25,8,0.025332224
39000,13.25,16.25,8,0.021724518
39500,11.5,14.5,8,0.03468164
40000,10.75,13.75,8,0.025833825
40500,13.62,16.62,8,0.013735088
41000,11.75,14.75,8,0.036098063
41500,10.88,13.88,8,0.04529815
42000,8.88,11.88,8,0.020564146
42500,10.38,13.38,8,0.022273835
43000,11.38,14.38,8,0.02950494
43500,11.75,14.75,8,0.03473867
