iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,9,0.023080414
1000,-1.0,2.0,8,0.026220396
1500,-1.0,2.0,8,0.02040939
2000,-1.0,2.0,10,0.018048009
2500,-1.0,2.0,8,0.018546913
3000,-0.88,2.12,8,0.023211308
3500,-1.0,2.0,12,0.019933142
4000,-1.0,2.0,8,0.012383062
4500,-0.89,2.11,9,0.022181828
5000,-1.0,2.0,8,0.02106347
5500,-1.0,2.0,10,0.023064699
6000,-1.0,2.0,8,0.017154913
6500,-0.88,2.12,8,0.020248307
7000,-1.0,2.0,9,0.026196256
7500,-1.0,2.0,8,0.013024991
8000,-1.0,2.0,9,0.0107307015
8500,-0.8,2.2,10,0.017832873
9000,-0.92,2.08,12,0.019269569
9500,-1.0,2.0,8,0.038194306
10000,-1.0,2.0,8,0.026211482
10500,-0.88,2.12,8,0.02659968
11000,-0.88,2.12,8,0.019036205
11500,-1.0,2.0,9,0.02364121
12000,-0.88,2.12,8,0.01680479
12500,-1.0,2.0,8,0.025586933
13000,-1.0,2.0,12,0.023733495
13500,-1.0,2.0,9,0.02996676
14000,-0.89,2.11,9,0.014911862
14500,-0.9,2.1,10,0.01800884
15000,-0.88,2.12,8,0.028202467
15500,-1.0,2.0,9,0.017849643
16000,-0.88,2.12,8,0.04605385
16500,-1.0,2.0,8,0.034565832
17000,-0.88,2.12,8,0.027622309
17500,-0.91,2.09,11,0.015409833
18000,-0.9,2.1,10,0.02243373
18500,-1.0,2.0,8,0.031714097
19000,-1.0,2.0,8,0.035194337
19500,-1.0,2.0,9,0.017214684
20000,-0.89,2.11,9,0.035680026
20500,-1.0,2.0,8,0.025975566
21000,-0.89,2.11,9,0.014337456
21500,-1.0,2.0,8,0.021406047
22000,-0.9,2.1,10,0.032558523
22500,-1.0,2.0,9,0.025605174
23000,-0.89,2.11,9,0.039752737
23500,-1.0,2.0,9,0.025569115
24000,-0.91,2.09,11,0.029698217
24500,-1.0,2.0,9,0.029121399
25000,-1.0,2.0,9,0.019681614
25500,-0.88,2.12,8,0.016188793
26000,-1.0,2.0,11,0.030987201
26500,-1.0,2.0,8,0.03638927
27000,-1.0,2.0,8,0.023341471
27500,-1.0,2.0,8,0.015660606
28000,-1.0,2.0,9,0.01887915
28500,-0.78,2.22,9,0.029103424
29000,-1.0,2.0,10,0.016904915
29500,-0.88,2.12,8,0.029174423
30000,-1.0,2.0,9,0.023205187
30500,-1.0,2.0,8,0.01906854
31000,-1.0,2.0,9,0.02029521
31500,-1.0,2.0,10,0.030123882
32000,-0.89,2.11,9,0.022408556
32500,-1.0,2.0,8,0.023674672
33000,-1.0,2.0,8,0.035971384
33500,-0.89,2.11,9,0.03429934
34000,-1.0,2.0,9,0.02228805
34500,-0.89,2.11,9,0.02749699
35000,-0.91,2.09,11,0.032661736
35500,-1.0,2.0,9,0.02052998
36000,-1.0,2.0,8,0.033868976
36500,-1.0,2.0,11,0.02674925
37000,-0.88,2.12,8,0.027971797
37500,-0.9,2.1,10,0.038894277
38000,-0.75,2.25,8,0.029931681
38500,-0.88,2.12,8,0.023403576
39000,-1.0,2.0,8,0.03614104
39500,-0.91,2.09,11,0.041479304
40000,-1.0,2.0,8,0.039942898
40500,-0.9,2.1,10,0.03501059
41000,-1.0,2.0,12,0.029061794
41500,-0.89,2.11,9,0.041249983
42000,-0.89,2.11,9,0.04126649
42500,-1.0,2.0,9,0.02542713
43000,-1.0,2.0,10,0.044192728
43500,-1.0,2.0,8,0.037493426
44000,-0.89,2.11,9,0.019464102
44500,-1.0,2.0,10,0.025757754
45000,-0.89,2.11,9,0.031331263
45500,-1.0,2.0,9,0.043329325
46000,-1.0,2.0,8,0.03184416
46500,-0.88,2.12,8,0.018858245
47000,-1.0,2.0,10,0.039489537
47500,-0.91,2.09,11,0.038970716
48000,-1.0,2.0,8,0.036526866
48500,-1.0,2.0,8,0.035621017
49000,-1.0,2.0,9,0.03202364
49500,-0.91,2.09,11,0.033380628
50000,-0.88,2.12,8,0.037228093
50500,-0.91,2.09,11,0.027844988
51000,-1.0,2.0,11,0.04294327
51500,-0.67,2.33,9,0.038326483
52000,-1.0,2.0,8,0.034120213
52500,-1.0,2.0,9,0.0516249
53000,-0.89,2.11,9,0.027309962
53500,-0.89,2.11,9,0.049793832
54000,-1.0,2.0,8,0.028178398
54500,-1.0,2.0,8,0.02265101
55000,-1.0,2.0,11,0.043725237
55500,-1.0,2.0,9,0.028194165
56000,-0.89,2.11,9,0.045174964
56500,-0.88,2.12,8,0.02480658
57000,-1.0,2.0,9,0.032515522
57500,-1.0,2.0,10,0.038908295
58000,-1.0,2.0,8,0.020601487
58500,-1.0,2.0,8,0.02534191
59000,-1.0,2.0,9,0.035254583
59500,-1.0,2.0,8,0.030101074
60000,-1.0,2.0,9,0.026476644
60500,-1.0,2.0,8,0.031804428
61000,-1.0,2.0,8,0.035316855
61500,-1.0,2.0,8,0.024609698
62000,-1.0,2.0,9,0.023509558
62500,-1.0,2.0,8,0.02739673
63000,-1.0,2.0,8,0.026864417
63500,-1.0,2.0,9,0.03963872
64000,-0.75,2.25,8,0.03011858
64500,-1.0,2.0,9,0.03684842
65000,-1.0,2.0,8,0.029295275
65500,-0.88,2.12,8,0.03364423
66000,-1.0,2.0,10,0.03126417
66500,-1.0,2.0,11,0.02375423
67000,-1.0,2.0,11,0.045533836
67500,-1.0,2.0,10,0.034498096
68000,-1.0,2.0,9,0.033681683
68500,-1.0,2.0,8,0.03162994
69000,-1.0,2.0,9,0.020613387
69500,-1.0,2.0,9,0.036453
70000,-1.0,2.0,9,0.028124325
70500,-1.0,2.0,10,0.04428404
71000,-1.0,2.0,11,0.030417789
71500,-1.0,2.0,9,0.025400948
72000,-1.0,2.0,9,0.03361903
72500,-0.9,2.1,10,0.02885158
73000,-1.0,2.0,11,0.02731358
73500,-1.0,2.0,8,0.03321825
74000,-1.0,2.0,8,0.02933992
74500,-0.88,2.12,8,0.030124439
75000,-1.0,2.0,8,0.041529633
75500,-0.88,2.12,8,0.029641563
76000,-1.0,2.0,9,0.03561976
76500,-0.8,2.2,10,0.028896037
77000,-1.0,2.0,8,0.034941405
77500,-1.0,2.0,10,0.04028647
78000,-0.92,2.08,12,0.03684078
78500,-1.0,2.0,8,0.03125269
79000,-1.0,2.0,8,0.028964674
79500,-1.0,2.0,9,0.03973324
80000,-0.89,2.11,9,0.04035043
80500,-0.89,2.11,9,0.03404907
81000,-1.0,2.0,8,0.03289199
81500,-1.0,2.0,8,0.045833915
82000,-0.75,2.25,8,0.04160598
82500,-0.88,2.12,8,0.018236756
83000,-1.0,2.0,9,0.04314595
83500,-1.0,2.0,8,0.03883583
